66-194-6-71.gen.twtelecom.net - - [12/Mar/2004:01:30:44 -0800] "GET / HTTP/1.1" 200 3169
lj1024.inktomisearch.com - - [12/Mar/2004:02:27:29 -0800] "GET /robots.txt HTTP/1.0" 200 68
lj1123.inktomisearch.com - - [12/Mar/2004:02:27:32 -0800] "GET /twiki/bin/view/Sandbox/WebIndex HTTP/1.0" 200 8667
195.11.231.210 - - [12/Mar/2004:03:32:56 -0800] "GET /mailman/listinfo/webber HTTP/1.0" 200 6032
80.58.33.42.proxycache.rima-tde.net - - [12/Mar/2004:04:57:20 -0800] "GET /twiki/bin/view/Main/WebHome HTTP/1.0" 200 10392
80.58.33.42.proxycache.rima-tde.net - - [12/Mar/2004:04:57:21 -0800] "GET /twiki/pub/TWiki/TWikiLogos/twikiRobot46x50.gif HTTP/1.1" 200 2877
80.58.33.42.proxycache.rima-tde.net - - [12/Mar/2004:04:57:56 -0800] "GET /twiki/bin/view/Main/LinksOfUse HTTP/1.1" 200 4534
145.253.208.9 - - [12/Mar/2004:04:59:21 -0800] "GET /twiki/bin/view/Main/SpamAssassinUsingRazorAndDCC HTTP/1.1" 200 7435
145.253.208.9 - - [12/Mar/2004:04:59:21 -0800] "GET /twiki/pub/TWiki/TWikiLogos/twikiRobot46x50.gif HTTP/1.1" 200 2877
lj1115.inktomisearch.com - - [12/Mar/2004:05:03:19 -0800] "GET /twiki/bin/view/Main/TWikiAdminGroup HTTP/1.0" 200 4156
lj1008.inktomisearch.com - - [12/Mar/2004:05:19:31 -0800] "GET /twiki/bin/oops/TWiki/Mana HTTP/1.0" 200 209
61.165.64.6 - - [12/Mar/2004:05:25:20 -0800] "GET /mailman/listinfo/cncce HTTP/1.1" 200 6208
61.165.64.6 - - [12/Mar/2004:05:25:24 -0800] "GET /icons/mailman.jpg HTTP/1.1" 200 2022
61.165.64.6 - - [12/Mar/2004:05:25:24 -0800] "GET /icons/PythonPowered.png HTTP/1.1" 200 945
61.165.64.6 - - [12/Mar/2004:05:25:25 -0800] "GET /icons/gnu-head-tiny.jpg HTTP/1.1" 200 3049
145.253.208.9 - - [12/Mar/2004:05:44:35 -0800] "GET /twiki/bin/view/Main/SpamAssassinUsingRazorAndDCC HTTP/1.1" 200 7435
145.253.208.9 - - [12/Mar/2004:05:44:35 -0800] "GET /twiki/pub/TWiki/TWikiLogos/twikiRobot46x50.gif HTTP/1.1" 200 2877
145.253.208.9 - - [12/Mar/2004:05:44:50 -0800] "GET /twiki/bin/view/Main/DCC HTTP/1.1" 200 4396
145.253.208.9 - - [12/Mar/2004:05:44:51 -0800] "GET /twiki/pub/TWiki/TWikiLogos/twikiRobot46x50.gif HTTP/1.1" 304 -
145.253.208.9 - - [12/Mar/2004:05:51:36 -0800] "GET /favicon.ico HTTP/1.1" 200 1078
vlp181.vlp.fi - - [12/Mar/2004:08:33:32 -0800] "GET /razor.html HTTP/1.1" 200 2869
lj1024.inktomisearch.com - - [12/Mar/2004:09:12:01 -0800] "GET /robots.txt HTTP/1.0" 200 68
lj1223.inktomisearch.com - - [12/Mar/2004:09:12:02 -0800] "GET /twiki/bin/oops/Main/Mi HTTP/1.0" 200 209
10.0.0.153 - - [12/Mar/2004:11:01:26 -0800] "GET / HTTP/1.1" 304 -
10.0.0.153 - - [12/Mar/2004:11:01:28 -0800] "GET /cgi-bin/mailgraph2.cgi HTTP/1.1" 200 2987
10.0.0.153 - - [12/Mar/2004:11:01:29 -0800] "GET /cgi-bin/mailgraph.cgi/mailgraph_0.png HTTP/1.1" 200 6405
10.0.0.153 - - [12/Mar/2004:11:01:29 -0800] "GET /cgi-bin/mailgraph.cgi/mailgraph_0_err.png HTTP/1.1" 200 6413
10.0.0.153 - - [12/Mar/2004:11:01:29 -0800] "GET /cgi-bin/mailgraph.cgi/mailgraph_1_err.png HTTP/1.1" 200 6952
10.0.0.153 - - [12/Mar/2004:11:01:29 -0800] "GET /cgi-bin/mailgraph.cgi/mailgraph_1.png HTTP/1.1" 200 8715
10.0.0.153 - - [12/Mar/2004:11:01:29 -0800] "GET /cgi-bin/mailgraph.cgi/mailgraph_2_err.png HTTP/1.1" 200 7001
10.0.0.153 - - [12/Mar/2004:11:01:29 -0800] "GET /cgi-bin/mailgraph.cgi/mailgraph_2.png HTTP/1.1" 200 9514
10.0.0.153 - - [12/Mar/2004:11:01:29 -0800] "GET /cgi-bin/mailgraph.cgi/mailgraph_3.png HTTP/1.1" 200 6644
10.0.0.153 - - [12/Mar/2004:11:01:29 -0800] "GET /cgi-bin/mailgraph.cgi/mailgraph_3_err.png HTTP/1.1" 200 5554
ns.wtbts.org - - [12/Mar/2004:11:16:36 -0800] "GET /dccstats/ HTTP/1.0" 200 2955
ns.wtbts.org - - [12/Mar/2004:11:16:55 -0800] "GET /dccstats/stats-spam.1day.png HTTP/1.0" 200 2925
ns.wtbts.org - - [12/Mar/2004:11:16:55 -0800] "GET /dccstats/stats-spam-ratio.1day.png HTTP/1.0" 200 2347
ns.wtbts.org - - [12/Mar/2004:11:16:55 -0800] "GET /dccstats/stats-spam.1week.png HTTP/1.0" 200 3431
ns.wtbts.org - - [12/Mar/2004:11:16:55 -0800] "GET /dccstats/stats-spam-ratio.1week.png HTTP/1.0" 200 2380
ns.wtbts.org - - [12/Mar/2004:11:16:55 -0800] "GET /dccstats/stats-hashes.1week.png HTTP/1.0" 200 1658
ns.wtbts.org - - [12/Mar/2004:11:16:55 -0800] "GET /dccstats/stats-spam.1month.png HTTP/1.0" 200 2685
ns.wtbts.org - - [12/Mar/2004:11:16:56 -0800] "GET /dccstats/stats-spam-ratio.1month.png HTTP/1.0" 200 2082
ns.wtbts.org - - [12/Mar/2004:11:16:56 -0800] "GET /dccstats/stats-hashes.1month.png HTTP/1.0" 200 1637
ns.wtbts.org - - [12/Mar/2004:11:16:56 -0800] "GET /dccstats/stats-spam.1year.png HTTP/1.0" 200 2211
ns.wtbts.org - - [12/Mar/2004:11:16:56 -0800] "GET /dccstats/stats-spam-ratio.1year.png HTTP/1.0" 200 1853
ns.wtbts.org - - [12/Mar/2004:11:16:56 -0800] "GET /dccstats/stats-hashes.1year.png HTTP/1.0" 200 1572
67.131.107.5 - - [12/Mar/2004:11:39:14 -0800] "GET / HTTP/1.1" 200 3169
67.131.107.5 - - [12/Mar/2004:11:39:25 -0800] "GET /twiki/bin/view/Main/WebHome HTTP/1.1" 200 10419
67.131.107.5 - - [12/Mar/2004:11:39:31 -0800] "GET /twiki/pub/TWiki/TWikiLogos/twikiRobot46x50.gif HTTP/1.1" 200 2877
10.0.0.153 - - [12/Mar/2004:12:23:11 -0800] "GET / HTTP/1.1" 304 -
10.0.0.153 - - [12/Mar/2004:12:23:17 -0800] "GET /cgi-bin/mailgraph2.cgi HTTP/1.1" 200 2987
10.0.0.153 - - [12/Mar/2004:12:23:18 -0800] "GET /cgi-bin/mailgraph.cgi/mailgraph_0_err.png HTTP/1.1" 200 6324
10.0.0.153 - - [12/Mar/2004:12:23:18 -0800] "GET /cgi-bin/mailgraph.cgi/mailgraph_1.png HTTP/1.1" 200 8964
10.0.0.153 - - [12/Mar/2004:12:23:18 -0800] "GET /cgi-bin/mailgraph.cgi/mailgraph_0.png HTTP/1.1" 200 6225
10.0.0.153 - - [12/Mar/2004:12:23:18 -0800] "GET /cgi-bin/mailgraph.cgi/mailgraph_2_err.png HTTP/1.1" 200 7001
10.0.0.153 - - [12/Mar/2004:12:23:18 -0800] "GET /cgi-bin/mailgraph.cgi/mailgraph_2.png HTTP/1.1" 200 9514
10.0.0.153 - - [12/Mar/2004:12:23:18 -0800] "GET /cgi-bin/mailgraph.cgi/mailgraph_1_err.png HTTP/1.1" 200 6949
10.0.0.153 - - [12/Mar/2004:12:23:18 -0800] "GET /cgi-bin/mailgraph.cgi/mailgraph_3.png HTTP/1.1" 200 6644
10.0.0.153 - - [12/Mar/2004:12:23:18 -0800] "GET /cgi-bin/mailgraph.cgi/mailgraph_3_err.png HTTP/1.1" 200 5554
10.0.0.153 - - [12/Mar/2004:12:23:40 -0800] "GET /dccstats/index.html HTTP/1.1" 304 -
10.0.0.153 - - [12/Mar/2004:12:23:41 -0800] "GET /dccstats/stats-spam.1day.png HTTP/1.1" 200 2964
10.0.0.153 - - [12/Mar/2004:12:23:41 -0800] "GET /dccstats/stats-spam-ratio.1day.png HTTP/1.1" 200 2341
10.0.0.153 - - [12/Mar/2004:12:23:41 -0800] "GET /dccstats/stats-spam-ratio.1week.png HTTP/1.1" 200 2346
10.0.0.153 - - [12/Mar/2004:12:23:41 -0800] "GET /dccstats/stats-spam.1week.png HTTP/1.1" 200 3438
10.0.0.153 - - [12/Mar/2004:12:23:41 -0800] "GET /dccstats/stats-hashes.1week.png HTTP/1.1" 200 1670
10.0.0.153 - - [12/Mar/2004:12:23:41 -0800] "GET /dccstats/stats-spam.1month.png HTTP/1.1" 200 2651
10.0.0.153 - - [12/Mar/2004:12:23:41 -0800] "GET /dccstats/stats-spam-ratio.1month.png HTTP/1.1" 200 2023
10.0.0.153 - - [12/Mar/2004:12:23:41 -0800] "GET /dccstats/stats-hashes.1month.png HTTP/1.1" 200 1636
10.0.0.153 - - [12/Mar/2004:12:23:41 -0800] "GET /dccstats/stats-spam.1year.png HTTP/1.1" 200 2262
